"CITY","STATE","LAT","LON","KOPPEN","ELEVATION","ELEVATION_CHANGE","DISTANCE_TO_COAST","WIND"
"SOUTH_BEND","IN",41.71,-86.3,"Dfa",234.4,21.92,657.17,3.03
"SPOKANE","WA",47.68556,-117.3202,"Csb",595.36,302.3,336.96,2.61
"SPRINGFIELD","IL",39.85,-89.6,"Dfa",176.7,6.84,638.01,3.9
"SPRINGFIELD","MO",37.24,-93.3,"Cfa",405.7,69.1,501.73,3.43
"ST_GEORGE","UT",37.0965,-113.5684,"BSk",799.4,630.79,367.75,1.07
"ST_JOHN","VI",18.3368,-64.7281,"Am",315.79,314.55,491.31,NA
"ST_LOUIS","MO",38.75,-90.3,"Cfa",178.51,35.42,574.61,3.03
"ST_PETERSBURG","FL",27.77,-82.6,"Cfa",0,24.04,1.45,4.79
"ST_STE_MARIE","IL",38.72,-88.1,"Cfa",134.85,33.49,550.8,4.05
"ST_THOMAS","VI",18.34,-64.9,"Am",82.29,81.05,480.57,NA
"SYRACUSE","NY",43.11,-76,"Dfb",122.18,154.61,157.73,3.8
"TALLAHASSEE","FL",30.4,-84.3,"Cfa",14.91,54.18,20.91,2
"TAMPA","FL",27.96,-82.5,"Cfa",11.02,13.02,3.08,2.21
"TOLEDO","OH",41.74,-83.6,"Dfa",192.15,19.12,487.49,3.66
"TOPEKA","KS",39.07,-95.6,"Cfa",257.3,90.55,638.23,4.5
"TORRINGTON","CT",41.94,-72.68,"Dfa",51.59,153.92,44.3,2.66
"TRENTON","NJ",40.28,-74.82,"Cfa",63.49,57.16,22.99,3.74
"TUCSON","AZ",32.16667,-110.8833,"BSh",807.21,187.21,164.87,2.56
"TULSA","OK",36.2,-95.8,"Cfa",225.4,33.49,448.05,4.99
"TUPELO","MS",34.27,-88.7,"Cfa",86.38,52.91,248.07,3.46
"W_PALM_BEACH","FL",26.69,-80,"Af",0,6.73,2.95,5.12
"WACO","TX",31.62,-97.2,"Cfa",140.78,19.56,196.51,4.31
"WASHINGTON_DC","MD",38.85,-77,"Cfa",46.12,70.71,1.14,2.73
"WATERTOWN","SD",44.8994,-97.1151,"Dfa",529.44,84.5999999999999,1053.3,3.37
"WICHITA","KS",37.65,-97.4,"Cfa",397.02,43.11,568.68,4.38
"WICHITA_FALLS","TX",33.98,-98.4,"Cfa",280.9,10.83,372.23,4.47
"WILKES_BARRE","PA",41.34,-75.7,"Dfb",294.66,285.89,102.3,2.56
"WILLISTON","ND",48.26,-103.75,"BSk",711.59,127.74,1272.58,4.82
"WILMINGTON","DE",39.67,-75.6,"Cfa",20.61,89.95,1.33,2.78
"WINNEMUCCA","NV",40.90194,-117.80722,"BSk",1310.73,707.99,320.94,2.66
"WORCESTER","MA",42.27,-71.87,"Dfb",297.63,111.28,45.39,4.01
"YAKIMA","WA",46.56402,-120.5348,"Csb",320.96,358.57,135.32,2.03
"YOUNGSTOWN","OH",41.25,-80.6,"Dfb",347.91,61.87,292.63,3.77
"YUMA","AZ",32.65944,-114.593,"BWh",64.04,51.27,56.25,2.61
